id,"replace(replace(replace(campaign.name, char(10), ''), char(13), ''), ',', '')",does the link work,gallery,has a video,does the video work (1/0),direct link,youtube/other (1/0),link,finance,etat,ville,raised_amount,goal_amount,percent,time_left_qty,end_year
98595,a new album by The Weirdo Deluxe,1,NULL,1,1,https://youtu.be/IXnHgmbQNw0,1,https://www.indiegogo.com/projects/a-new-album-by-the-weirdo-deluxe,Flexible Funding, Texas,Austin,1086,9000,12,0,2015
244403,San Marco Chamber Music Society,1,4,1,0,NA,NA,https://www.indiegogo.com/projects/san-marco-chamber-music-society,Flexible Funding, Florida,Jacksonville,1400,2000,70,0,2011
316863,Unknown Relatives need a VAN!,1,2,1,0,NA,NA,https://www.indiegogo.com/projects/unknown-relatives-need-a-van,Flexible Funding, Texas,Austin,760,1500,51,0,2012
273806,Mariko Passion LIVE MUSIC SUMMER 2012,1,15,1,0,NA,NA,https://www.indiegogo.com/projects/mariko-passion-live-music-summer-2012,Flexible Funding, California,Los Angeles,573,2500,23,0,2012
13095,Intune Music & Lifestyle Festival,1,NULL,1,1,https://youtu.be/kRq2-MVzDpQ,1,https://www.indiegogo.com/projects/intune-music-lifestyle-festival,Flexible Funding, New York,Buffalo,1372,10000,14,0,2014
137761,Help DirtyClean master and release their debut LP,1,40,1,1,https://youtu.be/9C88_mP4kzc,1,https://www.indiegogo.com/projects/help-dirtyclean-master-and-release-their-debut-lp,Flexible Funding, Ohio,Dayton,1671,3700,45,0,2014
185516,Raya Brass Band's New Album,1,4,1,1,https://youtu.be/_4LBpMgGUEc,1,https://www.indiegogo.com/projects/raya-brass-band-s-new-album,Flexible Funding, New York,Brooklyn,7843,9000,87,0,2013
44238,This Day In Music History,1,1,1,1,https://youtu.be/E5-L2WEUa4o,1,https://www.indiegogo.com/projects/this-day-in-music-history,Flexible Funding, California,San Diego,2380,9500,25,0,2014
214701,Sun Life on Vinyl,1,NULL,1,0,NA,NA,https://www.indiegogo.com/projects/sun-life-on-vinyl,Flexible Funding, Texas,Fort Worth,1793,4000,45,0,2014
68843,Concert Tickets For A Close Friend,1,NULL,1,1,https://youtu.be/nVjsGKrE6E8,1,https://www.indiegogo.com/projects/concert-tickets-for-a-close-friend,Flexible Funding, California,Hollywood,0,500,0,0,2014
40838,Timeless,1,30,1,1,https://youtu.be/Gl7PMebXuUw,1,https://www.indiegogo.com/projects/timeless--19,Flexible Funding, Washington,Seattle,7311,37400,20,0,2014
209576,Move over OPRAH here comes IMANI KAIREE!!!,1,2,1,1,https://youtu.be/JXcgbVS64RY,1,https://www.indiegogo.com/projects/move-over-oprah-here-comes-imani-kairee,Flexible Funding, Connecticut,Ansonia,0,2000,0,0,2013
285053,Put An All Female Band on the Road,1,8,1,0,NA,NA,https://www.indiegogo.com/projects/put-an-all-female-band-on-the-road,Flexible Funding, California,Los Angeles,0,80000,0,0,2012
246701,Pursue Animation,1,NULL,1,1,https://youtu.be/4FzF3ewYqeM,1,https://www.indiegogo.com/projects/pursue-animation,Flexible Funding, Michigan,Big Rapids,0,600,0,0,2012
259814,Celebrate the life of Paul Cobb,1,7,1,1,http://vimeo.com/38248011,0,https://www.indiegogo.com/projects/celebrate-the-life-of-paul-cobb,Flexible Funding, Indiana,Indianapolis,11530,10000,115,0,2012
160659,8 Hours to Brasil,1,23,1,1,https://youtu.be/wdhzRPmKU38,1,https://www.indiegogo.com/projects/8-hours-to-brasil,Flexible Funding, Maryland,College Park,1806,5000,36,0,2014
144106,SUPROS first EP!!! $3000 in 30 days,1,NULL,1,0,NA,NA,https://www.indiegogo.com/projects/supros-first-ep-3000-in-30-days,Flexible Funding, Florida,Cape Coral,1337,3000,45,0,2014
87238,Introducing Jaelyn Cassidy,1,2,1,1,http://vimeo.com/111693478,0,https://www.indiegogo.com/projects/introducing-jaelyn-cassidy,Flexible Funding, California,Chino Hills,50,47500,0,0,2015
119283,Send Nikola and her vocal chords to the big apple!,1,1,1,0,NA,NA,https://www.indiegogo.com/projects/send-nikola-and-her-vocal-chords-to-the-big-apple,Flexible Funding,NULL,Berkeley,1085,1000,109,0,2013
107380,Fill me up with Hate - Single,1,NULL,1,1,https://youtu.be/SI42DjUzSUs,1,https://www.indiegogo.com/projects/fill-me-up-with-hate-single,Flexible Funding, Maryland,Baltimore,0,500,0,0,2015
188673,Adam Bauer's Debut Kirtan Album - 'Shyam Lila',1,4,1,1,https://youtu.be/RkJbw2_ZGYo,1,https://www.indiegogo.com/projects/adam-bauer-s-debut-kirtan-album-shyam-lila,Flexible Funding,NULL,Leverett,14918,25000,60,0,2013
125471,The Cosmic Music Community,1,15,1,1,https://youtu.be/2sl-FcKrprM,1,https://www.indiegogo.com/projects/the-cosmic-music-community,Flexible Funding, Michigan,detroit,1290,12500,10,0,2013
323562,Jimmy Bennett Band,1,NULL,1,0,NA,NA,https://www.indiegogo.com/projects/jimmy-bennett-band,Flexible Funding, California,Huntington Beach,37006,30000,123,0,2013
20450,12 years of songwriting. Help Lia Menaker record her first album!,1,5,1,1,https://youtu.be/pEsqiPexR0g,1,https://www.indiegogo.com/projects/12-years-of-songwriting-help-lia-menaker-record-her-first-album,Flexible Funding, Colorado,Fort Collins,2000,3000,67,0,2014
157703,XyloVan - Phase 2!,1,NULL,1,1,https://youtu.be/VLGhKN_0_f0,1,https://www.indiegogo.com/projects/xylovan-phase-2,Flexible Funding, California,Los Angeles,5040,10000,50,0,2014
138359,Becoming the world's foremost 35-year-old beginning cellist,1,NULL,1,0,NA,NA,https://www.indiegogo.com/projects/becoming-the-world-s-foremost-35-year-old-beginning-cellist,Flexible Funding, Washington,Seattle,270,7610,4,0,2014
330456,Vibe55: Sell Your Music Directly Online,1,4,1,1,https://youtu.be/U9J4WHkIyo8,1,https://www.indiegogo.com/projects/vibe55-sell-your-music-directly-online,Flexible Funding, Georgia,Smyrna,0,5000,0,0,2013
76009,Sweet Leda's New Album 'Let It In',1,12,1,1,https://youtu.be/H7qR1UHdo1A,1,https://www.indiegogo.com/projects/sweet-leda-s-new-album-let-it-in,Flexible Funding, Maryland,Pasadena,6130,5000,123,0,2014
221312,The Change Project,1,NULL,1,0,NA,NA,https://www.indiegogo.com/projects/the-change-project--2,Flexible Funding, Michigan,Cadillac,0,10000,0,0,2013
3645,Guarantee Me Love - The New Record from Eddie Cohn,1,5,1,1,https://youtu.be/z2gDNx5dAjk,1,https://www.indiegogo.com/projects/guarantee-me-love-the-new-record-from-eddie-cohn,Flexible Funding, California,Los Angeles,5317,18500,29,0,2014
190672,The Future Laureates Need a Van!,1,4,1,0,NA,NA,https://www.indiegogo.com/projects/the-future-laureates-need-a-van,Flexible Funding, Illinois,Chicago,5574,5000,111,0,2013
99481,Funding for The Reading by Charlie Pollard,1,NULL,1,1,https://youtu.be/z7HKGm6sdpE,1,https://www.indiegogo.com/projects/funding-for-the-reading-by-charlie-pollard,Flexible Funding, Minnesota,Minneapolis,660,600,110,0,2015
168433,Mission from God to revive joy through music,1,NULL,1,1,https://youtu.be/BOMowCfC9I8,1,https://www.indiegogo.com/projects/mission-from-god-to-revive-joy-through-music,Flexible Funding, Florida,Miami,375,1200,31,0,2014
50579,Dancetronauts need your help! FUEL OUR BURN!,1,2,1,1,https://youtu.be/Bcuc6dDgVTo,1,https://www.indiegogo.com/projects/dancetronauts-need-your-help-fuel-our-burn,Flexible Funding, California,Santa Cruz,7672,8000,96,0,2014
222560,Sine Qua Non - TranSoul,1,1,1,0,NA,NA,https://www.indiegogo.com/projects/sine-qua-non-transoul,Flexible Funding, District of Columbia,Washington,50,7500,1,0,2013
321682,Humanity Tour 2013: Demand a Plan,1,1,1,1,https://youtu.be/64G5FfG2Xpg,1,https://www.indiegogo.com/projects/humanity-tour-2013-demand-a-plan,Flexible Funding, New York,New York City,50,3000,2,0,2013
211215,Help fund My Captain My Sea's latest album,1,NULL,1,1,https://youtu.be/Zyrs23n5wnQ,1,https://www.indiegogo.com/projects/help-fund-my-captain-my-sea-s-latest-album,Flexible Funding, Pennsylvania,Pittsburgh,337,1500,22,0,2013
256315,ThorNton Creek Music,1,NULL,1,1,https://youtu.be/uZ4BrbO9meo,1,https://www.indiegogo.com/projects/thornton-creek-music,Flexible Funding, Washington,Seattle,2400,2000,120,0,2012
190734,Baltimore Modern Orchestra Project - VISUAL AUDIO,1,3,1,0,NA,NA,https://www.indiegogo.com/projects/baltimore-modern-orchestra-project-visual-audio,Flexible Funding,NULL,Baltimore,196,4600,4,0,2013
